Title,Authors,Session,Abstract,PDF,Paper Page
MIS-NeRF: Neural Radiance Fields in Minimally-Invasive Surgery,Samad Barri Khojasteh;David Fuentes;Daniel Pizarro;Yamid Espinel Lopez;Adrien Bartoli,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
ConsisTNet: A Spatio-Temporal Approach for Consistent Anatomical Localization in Endoscopic Pituitary Surgery,Zhehua Mao;Adrito Das;Dan Khan;Simon Williams;John Hanrahan;Danail Stoyanov;Hani Marcus;Sophia Bano,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
The RoDEM Benchmark: Evaluating the Robustness of Monocular Single-shot Depth Estimation Methods in Minimally-Invasive Surgery,Rasoul SHARIFIAN;Navid Rabbani;Adrien Bartoli,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Video-based Multi-Target Multi-Camera Tracking for Postoperative Phase Recognition,Franziska Jurosch;Janik Zeller;Lars Wagner;Ege Özsoy;Alissa Jell;Sven Kolb;Dirk Wilhelm,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
SurgIPC: a Convex Image Perspective Correction Method to Boost Surgical Keypoint Matching,Rasoul SHARIFIAN;Adrien Bartoli,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
HEAT : High-Efficiency simulation for thermal Ablation Therapy,Jonas Mehtali;Juan Verde;Caroline Essert,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Touching the tumor boundary: A pilot study on ultrasound based virtual fixtures for breast conserving surgery,Laura Connolly;Tamas Ungi;Adnan Munawar;Anton Deguet;Chris Yeung;Russ Taylor;Parvin Mousavi;Gabor Fichtinger;Keyvan Hashtrudi-Zaad,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
SwinCVS: A Unified Approach to Classifying Critical View of Safety Structures in Laparoscopic Cholecystectomy,Franciszek Nowak;Matthew Clarkson;Brian Davidson;Evangelos Mazomenos,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Uncertainty Quantification in Image-based 2D/3D Registration and Its Relationship with Accuracy,Sue Min Cho;Alexander Do;Robert Grupp;Mehran Armand;Russ Taylor;Mathias Unberath,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Virtual Fluoroscopy for Interventional Guidance using Magnetic Tracking,Shuwei Xing;Inaara Ahmed-Fazal;Utsav Pardasani;Uditha Jarayathne;Scott Illsley;Aaron Fenster;Terry Peters;Elvis Chen,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
"Super-resolution for Localizing Electrode grids as Small, Deformable Objects during Epilepsy Surgery Using Augmented Reality Headsets",Hizirwan Salim;Abdullah Thabit;Theo van Walsum;Sem Hoogteijling;Maryse A. van 't Klooster;Maeike Zijlmans;Mohamed Benmahdjoub,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
The Interpretable Surgical Temporal Informer: Explainable Surgical Time Completion Prediction,Roger Soberanis-Mukul;Rohit Shankar;Lalithkumar Seenivasan;Jose Porras;Masaru Ishii;Mathias Unberath,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
FACT: Foundation Model for Assessing Cancer Tissue Margins with Mass Spectrometry,Mohammad Farahmand;Amoon Jamzad;Fahimeh Fooladgar;Laura Connolly;Martin Kaufmann;Kevin Yi Mi Ren;John Rudan;Doug McKay;Gabor Fichtinger;Parvin Mousavi,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
PDZSeg: Adapting the Foundation Model for Dissection Zone Segmentation with Visual Prompts in Robot-assisted Endoscopic Submucosal Dissection,Mengya Xu;Wenjin Mo;Guankun Wang;Huxin Gao;An WANG;Hongliang Ren,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
